order_id,product_id,so_luong,don_gia,thanh_tien
182,51,1,427500,427500
182,56,1,6490000,6490000
183,47,1,6490000,6490000
184,224,1,7590500,7590500
185,28,1,4590000,4590000
186,36,1,171000,171000
186,178,1,2990000,2990000
187,21,1,7990000,7990000
187,43,1,9490000,9490000
188,70,1,1890000,1890000
189,181,2,4990000,9980000
189,251,1,26590500,26590500
189,80,1,9490000,9490000
190,50,2,9490000,18980000
191,177,1,35140500,35140500
192,89,1,3490000,3490000
193,58,1,7490000,7490000
194,159,1,12990000,12990000
195,29,1,250000,250000
196,38,1,11390500,11390500
197,8,1,1795500,1795500
198,79,1,171000,171000
199,250,1,190000,190000
200,260,1,18990000,18990000
201,244,1,31990000,31990000
202,238,1,36990000,36990000
203,82,2,2241000,4482000
204,262,1,750000,750000
205,179,1,320000,320000
205,71,1,11990000,11990000
206,295,1,750000,750000
207,133,1,26590500,26590500
208,297,1,9490000,9490000
209,12,1,27990000,27990000
210,215,1,27990000,27990000
211,115,1,31990000,31990000
211,22,1,4740500,4740500
212,250,1,190000,190000
213,278,1,6490000,6490000
214,70,1,1890000,1890000
215,200,2,27990000,55980000
216,219,1,7990000,7990000
217,234,1,7990000,7990000
218,312,1,4990000,4990000
218,18,1,8541000,8541000
218,218,1,1890000,1890000
219,38,1,11390500,11390500
219,210,2,6490000,12980000
220,251,1,26590500,26590500
221,180,1,2990000,2990000
222,269,1,405000,405000
222,112,1,27990000,27990000
223,309,1,36990000,36990000
224,247,1,11990000,11990000
225,248,1,11990000,11990000
225,97,1,4590000,4590000
226,252,1,250000,250000
226,283,1,9490000,9490000
226,132,1,4740500,4740500
227,186,1,9490000,9490000
228,127,1,6490000,6490000
229,275,1,5391000,5391000
230,195,1,2241000,2241000
231,309,2,36990000,73980000
232,273,1,10791000,10791000
233,241,1,4590000,4590000
233,88,1,7990000,7990000
234,54,1,7490000,7490000
235,207,3,3990000,11970000
236,31,1,6490000,6490000
237,285,1,2365500,2365500
237,38,1,11990000,11990000
237,207,1,3790500,3790500
238,228,2,2490000,4980000
239,47,1,6490000,6490000
240,167,1,33291000,33291000
241,144,1,4990000,4990000
242,209,1,8991000,9890100
243,250,1,180500,180500
244,64,1,18990000,18990000
245,276,1,6490000,6490000
246,214,1,27990000,27990000
247,55,1,9990000,9990000
248,12,1,27990000,27990000
248,301,1,3990000,3990000
249,181,1,4990000,4990000
250,173,1,18990000,18990000
250,30,1,5841000,5841000
251,234,1,7191000,7191000
252,12,1,27990000,27990000
253,37,2,108000,216000
254,63,1,5990000,5990000
254,293,1,2990000,2990000
255,256,1,560500,560500
256,310,1,5391000,5391000
257,153,1,120000,120000
258,212,1,7191000,7191000
259,226,1,17091000,17091000
260,239,2,6165500,12331000
260,195,1,2490000,2490000
261,288,3,3990000,11970000
261,11,1,35140500,35140500
262,179,1,320000,320000
263,278,1,6490000,6490000
264,119,1,120000,120000
265,92,1,237500,237500
266,96,1,2990000,2990000
266,72,1,7990000,7990000
266,299,2,3141000,6282000
267,126,1,5690500,5690500
268,73,1,11990000,11990000
269,22,1,4990000,4990000
270,109,1,560500,560500
270,156,1,25191000,25191000
271,224,1,7990000,7990000
272,220,1,11691000,11691000
273,213,1,18990000,18990000
274,16,1,27990000,27990000
274,148,2,5391000,10782000
275,243,1,18990000,18990000
275,206,1,590000,590000
276,57,1,33291000,33291000
277,104,3,17091000,51273000
278,280,1,4590000,4590000
279,103,1,20691000,20691000
279,285,1,2490000,2490000
280,220,1,12990000,12990000
280,274,1,11990000,11990000
281,187,1,4740500,4740500
282,112,1,27990000,27990000
282,25,1,3490000,3839000
283,243,1,18990000,18990000
283,252,1,250000,250000
284,166,1,3990000,3990000
285,68,1,1890000,1890000
286,312,1,4740500,4740500
287,311,1,3990000,3990000
287,96,1,2840500,2840500
288,167,1,36990000,36990000
289,9,1,320000,320000
289,95,1,7590500,7590500
290,253,1,1701000,1701000
291,181,2,4740500,9481000
291,245,1,8541000,8541000
292,227,1,9490500,9490500
293,243,1,18990000,18990000
294,91,1,4990000,4990000
295,12,2,27990000,55980000
296,61,1,750000,750000
297,42,1,8541000,8541000
297,36,2,190000,380000
298,191,1,4491000,4491000
299,14,2,250000,500000
300,126,1,5990000,5990000
301,202,2,11990000,23980000
301,166,1,3990000,3990000
302,320,1,304000,304000
303,278,1,6490000,6490000
303,117,1,11990000,11990000
304,260,1,18040500,18040500
305,252,1,250000,250000
306,68,1,1795500,1795500
307,165,1,6490000,6490000
307,215,1,26590500,26590500
307,167,1,36990000,36990000
308,197,1,712500,712500
309,278,1,6490000,6490000
310,229,1,250000,250000
311,33,1,250000,250000
311,26,1,31990000,31990000
312,170,1,18040500,18040500
313,310,1,5391000,5391000
313,39,1,30390500,30390500
314,74,1,5990000,5990000
315,27,1,12340500,12340500
316,110,1,4990000,4990000
316,141,1,5841000,5841000
317,205,1,6490000,6490000
317,9,1,304000,304000
318,12,3,25191000,75573000
319,99,1,12990000,12990000
320,116,1,18990000,18990000
321,117,1,11990000,11990000
322,7,2,6490000,12980000
323,274,1,10791000,10791000
324,272,1,9490000,9490000
325,83,1,27990000,27990000
326,207,1,3591000,3591000
327,274,1,11990000,11990000
328,28,1,4590000,4590000
329,186,1,9490000,9490000
330,39,1,28791000,28791000
331,267,2,9490000,18980000
331,221,1,18040500,18040500
332,175,1,2241000,2241000
333,31,1,6490000,6490000
334,59,1,4740500,4740500
335,295,1,712500,712500
335,133,1,27990000,27990000
335,101,1,18990000,18990000
336,18,1,9490000,9490000
337,127,1,6165500,6165500
338,177,1,36990000,36990000
339,56,1,6490000,6490000
339,104,1,17091000,17091000
340,102,1,2490000,2490000
341,201,1,4990000,4990000
341,127,1,6490000,6490000
342,207,1,3990000,3990000
343,98,1,36990000,36990000
344,223,1,5990000,5990000
345,100,1,9490500,9490500
345,4,1,320000,320000
345,67,1,17091000,17091000
346,126,1,5391000,5391000
346,64,1,17091000,17091000
347,38,1,11990000,11990000
348,247,1,11990000,11990000
349,298,1,6490000,6490000
350,185,1,2691000,2691000
350,250,1,190000,190000
351,167,2,35140500,70281000
352,205,3,6165500,18496500
353,257,1,11990000,11990000
354,211,1,6490000,6490000
355,27,1,12990000,12990000
356,191,1,4491000,4491000
356,307,1,3490000,3490000
357,209,1,9990000,9990000
358,45,1,9015500,9015500
358,111,1,7490000,7490000
358,137,1,3990000,3990000
359,143,1,2490000,2490000
359,39,1,30390500,30390500
360,277,1,6165500,6165500
361,54,1,7490000,7490000
362,295,1,750000,750000
362,63,1,5990000,5990000
363,53,1,9015500,9015500
364,203,1,27990000,27990000
365,54,1,7490000,7490000
366,223,1,5990000,5990000
367,218,1,1890000,1890000
367,244,1,31990000,31990000
368,68,3,1890000,5670000
369,277,2,5841000,11682000
369,278,1,5841000,5841000
370,158,1,2990000,2990000
370,176,2,31990000,70378000
371,111,1,7490000,7490000
372,279,1,4131000,4131000
373,290,1,18040500,18040500
373,299,1,3490000,3490000
374,259,2,35140500,70281000
375,185,1,2990000,2990000
376,152,1,22990000,22990000
377,212,1,7191000,7191000
378,86,1,18990000,18990000
379,58,1,7490000,7490000
380,280,1,4131000,4131000
381,188,1,9990000,9990000
382,68,1,1701000,1701000
382,205,2,6490000,12980000
383,173,1,18040500,18040500
384,136,2,4491000,8982000
385,307,1,3141000,3141000
386,107,1,304000,304000
387,111,1,7115500,7115500
388,216,1,3790500,3790500
389,267,1,8541000,8541000
390,117,1,11990000,11990000
391,137,1,3990000,3990000
391,198,1,10791000,10791000
391,273,1,11390500,11390500
392,29,3,250000,750000
393,249,1,288000,288000
394,314,1,25191000,25191000
395,28,1,4590000,4590000
395,200,1,27990000,27990000
396,218,1,1890000,1890000
397,242,1,5690500,5690500
398,63,1,5990000,5990000
398,174,1,4740500,4740500
399,216,1,3990000,3990000
400,303,1,17091000,17091000
400,295,1,750000,750000
401,107,1,304000,304000
402,257,1,11990000,11990000
403,63,1,5690500,5690500
404,242,1,5990000,5990000
404,276,1,5841000,5841000
405,211,1,6165500,6165500
405,182,1,36990000,36990000
405,1,1,1890000,1890000
406,6,1,5990000,5990000
407,171,1,2490000,2490000
408,121,1,190000,190000
408,146,1,5990000,5990000
409,85,1,26590500,26590500
410,42,3,8541000,25623000
411,202,1,11990000,11990000
411,306,1,1890000,1890000
412,61,1,750000,750000
413,273,1,10791000,10791000
414,135,1,5990000,5990000
415,320,1,288000,288000
416,221,1,18990000,18990000
416,123,1,2365500,2365500
416,241,1,4131000,4131000
417,240,1,5990000,5990000
418,230,3,250000,750000
419,167,2,35140500,70281000
420,121,1,190000,190000
420,181,1,4740500,4740500
421,104,1,18990000,18990000
422,24,2,6165500,12331000
423,92,1,237500,237500
424,236,1,7590500,7590500
425,205,1,5841000,5841000
425,46,2,7191000,14382000
426,174,1,4491000,4491000
427,219,2,7990000,15980000
428,200,1,26590500,26590500
429,54,1,7490000,7490000
430,68,1,1890000,1890000
430,245,1,9015500,9015500
431,236,1,7590500,7590500
431,245,1,9490000,9490000
432,264,1,8991000,8991000
433,206,2,531000,1062000
433,132,1,4990000,4990000
433,169,1,3141000,3141000
434,271,1,6165500,6165500
435,251,1,27990000,27990000
436,130,1,7115500,7115500
436,142,1,9015500,9015500
436,237,1,9015500,9015500
437,41,1,190000,190000
438,302,2,36990000,73980000
439,272,1,9490000,9490000
440,87,1,4990000,4990000
441,302,1,36990000,36990000
441,263,1,4990000,4990000
442,163,1,18990000,18990000
443,21,3,7990000,23970000
443,36,1,171000,171000
444,69,1,4740500,4740500
445,267,1,9490000,9490000
446,116,1,18040500,18040500
447,270,1,5690500,5690500
448,315,1,4360500,4360500
449,61,1,712500,712500
450,73,1,11990000,11990000
450,189,1,1890000,1890000
450,180,2,2990000,5980000
451,207,1,3591000,3591000
452,80,1,9490000,9490000
453,60,1,11990000,11990000
454,319,1,2840500,2840500
455,180,2,2691000,5382000
455,106,1,7990000,7990000
456,100,2,9990000,19980000
457,290,1,18040500,18040500
458,173,1,17091000,17091000
459,256,1,590000,590000
459,224,2,7191000,14382000
460,109,1,560500,560500
461,42,1,9490000,9490000
462,75,1,6490000,6490000
463,29,1,225000,225000
464,98,1,33291000,33291000
465,203,1,25191000,25191000
465,320,2,288000,576000
466,316,1,2990000,2990000
466,309,1,36990000,36990000
466,119,1,108000,108000
467,296,1,20691000,20691000
467,62,1,27990000,27990000
468,182,1,33291000,33291000
469,102,1,2490000,2490000
470,50,2,8541000,17082000
471,82,2,2365500,4731000
472,242,1,5990000,5990000
473,153,1,120000,120000
474,63,2,5990000,11980000
475,251,1,27990000,27990000
476,180,1,2840500,2840500
477,50,1,9490000,9490000
478,89,1,3141000,3141000
479,277,1,6490000,6490000
479,79,1,190000,190000
480,132,1,4990000,4990000
481,169,1,3490000,3490000
482,144,1,4990000,4990000
482,75,1,6490000,6490000
483,96,1,2840500,2840500
484,114,1,30390500,30390500
485,204,1,9015500,9015500
486,57,1,35140500,35140500
487,296,1,22990000,22990000
487,42,3,9490000,28470000
488,31,1,6490000,6490000
488,266,1,120000,120000
489,215,1,27990000,27990000
489,288,1,3990000,3990000
490,169,2,3490000,6980000
491,154,1,22990000,22990000
492,176,1,31990000,31990000
493,238,1,36990000,36990000
494,211,2,6490000,12980000
495,125,2,6490000,12980000
496,212,1,7191000,7191000
497,314,1,26590500,26590500
497,12,1,25191000,25191000
497,174,1,4990000,4990000
498,284,1,2840500,2840500
499,159,1,12990000,12990000
500,143,1,2490000,2490000
501,202,1,10791000,10791000
502,110,1,4990000,4990000
503,74,2,5990000,11980000
503,53,1,9490000,9490000
504,245,1,9015500,9015500
504,53,1,9015500,9015500
504,120,2,3490000,6980000
505,107,1,288000,288000
505,271,1,6165500,6165500
506,54,1,7115500,7115500
507,170,1,18040500,18040500
507,282,1,7191000,7191000
507,299,1,3490000,3490000
508,249,1,320000,320000
508,307,1,3315500,3315500
509,151,1,3490000,3490000
509,302,2,36990000,73980000
509,57,2,36990000,73980000
510,28,1,4590000,4590000
511,170,1,18990000,18990000
512,220,1,11691000,11691000
513,159,1,11691000,11691000
514,199,1,36990000,36990000
515,173,1,18990000,18990000
516,290,1,18040500,18040500
516,170,2,18990000,37980000
517,202,1,11990000,11990000
518,237,1,8541000,8541000
518,270,1,5690500,5690500
518,174,1,4990000,4990000
519,76,1,22990000,22990000
520,174,1,4990000,4990000
520,282,1,7990000,7990000
521,298,3,6490000,19470000
522,186,1,9490000,9490000
523,297,3,8541000,25623000
524,210,2,5841000,11682000
525,122,1,4990000,4990000
526,11,1,36990000,36990000
527,316,1,2840500,2840500
527,116,1,18990000,18990000
528,319,1,2990000,2990000
529,235,1,3141000,3141000
530,197,1,750000,750000
530,129,1,2840500,2840500
530,254,1,7191000,7191000
531,102,1,2365500,2365500
532,89,1,3490000,3490000
533,228,1,2490000,2490000
533,139,1,9490000,9490000
534,45,1,8541000,8541000
535,288,3,3990000,11970000
536,281,1,3990000,3990000
536,224,2,7590500,15181000
537,298,1,6490000,6490000
537,13,1,25191000,25191000
538,13,1,27990000,27990000
539,108,1,28791000,28791000
540,20,2,4131000,9088200
541,234,2,7191000,14382000
542,82,1,2241000,2241000
543,92,1,225000,225000
544,69,1,4990000,4990000
544,144,1,4990000,4990000
544,16,1,26590500,26590500
545,149,1,28791000,28791000
545,295,1,675000,675000
545,64,1,17091000,17091000
546,199,1,36990000,36990000
547,168,1,27990000,27990000
548,212,1,7990000,7990000
548,238,1,33291000,33291000
549,206,1,560500,560500
550,65,1,18990000,18990000
551,1,2,1890000,3780000
552,14,1,225000,225000
553,241,1,4131000,4131000
554,314,1,27990000,27990000
554,25,1,3315500,3315500
555,145,1,2691000,2691000
556,67,2,18990000,37980000
557,307,1,3490000,3490000
557,157,1,7191000,7191000
558,219,1,7990000,7990000
559,267,1,8541000,8541000
560,82,1,2490000,2490000
560,87,1,4491000,4491000
561,11,2,36990000,73980000
562,307,1,3490000,3490000
563,153,1,108000,108000
564,228,1,2241000,2241000
564,36,2,180500,361000
565,299,1,3490000,3490000
565,176,1,28791000,28791000
566,53,1,9490000,9490000
567,191,1,4990000,4491000
568,93,1,7990000,7990000
569,319,1,2840500,2840500
570,293,1,2990000,2990000
571,87,1,4740500,4740500
572,5,1,7590500,7590500
572,31,1,6490000,6490000
573,235,1,3315500,3315500
573,92,1,237500,237500
574,178,1,2990000,2990000
575,236,2,7990000,15980000
576,171,1,2490000,2490000
577,229,3,225000,675000
578,220,1,12340500,12340500
579,42,1,9490000,9490000
579,240,1,5690500,5690500
579,309,1,36990000,36990000
580,198,1,11990000,11990000
581,113,1,18990000,18990000
582,163,1,17091000,17091000
582,189,1,1890000,1890000
583,92,1,225000,225000
583,185,1,2990000,2990000
584,79,1,180500,180500
585,204,1,9015500,9015500
586,147,1,11990000,11990000
586,203,1,27990000,27990000
587,68,1,1890000,1890000
588,126,1,5990000,5990000
589,238,1,35140500,35140500
590,152,1,20691000,20691000
591,152,1,22990000,22990000
592,216,1,3990000,3990000
593,116,1,18990000,18990000
594,46,1,7590500,7590500
595,249,1,304000,304000
596,317,1,31990000,31990000
597,271,1,5841000,5841000
598,110,1,4990000,4990000
599,88,1,7191000,7191000
600,317,1,31990000,31990000
601,73,1,11990000,11990000
602,57,1,36990000,36990000
603,11,1,36990000,36990000
603,198,1,11990000,11990000
603,82,1,2490000,2490000
604,195,1,2490000,2490000
605,74,1,5391000,5391000
606,167,1,36990000,36990000
607,4,2,320000,640000
608,253,2,1795500,3591000
609,43,1,9490000,9490000
610,245,2,9490000,18980000
611,171,1,2490000,2490000
611,101,1,17091000,17091000
612,75,1,6165500,6165500
612,33,1,250000,250000
613,197,1,712500,712500
614,165,1,6490000,6490000
615,62,1,25191000,25191000
615,170,2,18990000,37980000
616,133,1,27990000,27990000
616,167,1,36990000,36990000
617,202,2,11390500,22781000
618,85,2,27990000,55980000
619,276,1,5841000,5841000
619,74,1,5391000,5391000
619,33,2,237500,475000
620,273,1,10791000,10791000
621,256,1,590000,590000
622,87,1,4491000,4491000
623,34,1,17091000,17091000
624,186,1,9490000,9490000
625,115,1,30390500,30390500
626,213,1,18040500,18040500
627,270,1,5990000,5990000
627,139,1,9015500,9015500
628,91,1,4491000,4491000
628,110,1,4990000,4990000
629,250,1,190000,190000
629,195,1,2365500,2365500
630,314,1,27990000,27990000
631,287,1,4740500,4740500
632,101,2,17091000,34182000
633,261,2,9490000,18980000
634,298,3,6490000,19470000
635,238,3,36990000,110970000
635,245,1,9490000,9490000
635,40,1,1795500,1795500
636,302,1,35140500,35140500
637,42,1,8541000,7686900
638,233,1,250000,250000
639,3,1,590000,590000
640,263,1,4491000,4491000
641,5,1,7990000,7990000
641,21,1,7191000,7191000
641,36,2,190000,380000
642,252,2,225000,450000
643,223,1,5391000,5391000
644,192,1,7590500,7590500
645,176,1,28791000,28791000
645,245,1,9015500,9015500
646,293,1,2990000,2990000
647,181,1,4990000,4990000
647,176,1,31990000,31990000
648,155,1,27990000,27990000
649,31,1,5841000,5841000
650,101,1,18040500,18040500
651,248,1,11390500,11390500
652,243,1,18990000,18990000
653,226,2,18040500,36081000
654,56,1,6490000,6490000
655,219,1,7191000,7191000
656,7,1,5841000,5841000
657,232,1,750000,750000
658,139,2,9490000,18980000
659,29,1,250000,250000
659,44,1,2691000,2691000
660,295,3,712500,2137500
661,6,1,5391000,5391000
662,180,1,2840500,2840500
662,100,1,8991000,8991000
663,274,1,11390500,11390500
664,305,1,1890000,1890000
664,16,1,27990000,27990000
665,131,1,27990000,27990000
666,105,1,9490000,9490000
667,211,1,6490000,6490000
668,207,1,3790500,3790500
669,105,1,8541000,8541000
670,302,1,36990000,36990000
671,154,1,21840500,21840500
672,241,1,4590000,4590000
673,84,2,9490000,18980000
674,107,1,320000,320000
674,282,1,7990000,7990000
675,149,1,31990000,31990000
675,302,1,36990000,36990000
676,216,3,3790500,11371500
677,244,1,31990000,31990000
678,73,3,11990000,35970000
679,88,1,7990000,7990000
680,115,1,31990000,31990000
680,81,1,6490000,6490000
681,232,1,750000,750000
682,319,1,2990000,2990000
683,136,1,4990000,4990000
684,2,1,36990000,36990000
684,30,1,6165500,6165500
685,4,1,320000,320000
686,175,1,2490000,2490000
686,26,1,31990000,31990000
687,31,2,5841000,11682000
688,47,1,5841000,5841000
689,39,2,31990000,63980000
690,126,1,5690500,5690500
691,295,1,750000,750000
691,20,1,4590000,4590000
692,284,1,2691000,2691000
692,170,1,17091000,17091000
692,242,2,5990000,11980000
693,47,1,6165500,6165500
693,212,1,7990000,7990000
694,285,1,2365500,2365500
695,195,1,2490000,2490000
696,268,1,450000,450000
697,188,1,9490500,9490500
698,162,1,17091000,17091000
699,16,1,26590500,26590500
700,132,1,4990000,4990000
701,39,1,28791000,28791000
702,67,1,18040500,18040500
702,278,1,6490000,6490000
703,51,2,450000,900000
704,183,1,2490000,2490000
705,158,1,2990000,2990000
705,263,2,4740500,9481000
706,26,2,28791000,57582000
707,292,1,6165500,6165500
708,112,1,25191000,25191000
709,103,1,22990000,25289000
710,36,1,190000,190000
710,301,1,3790500,3790500
711,61,1,750000,750000
712,152,1,20691000,20691000
713,29,1,250000,250000
714,225,1,26590500,26590500
714,11,1,33291000,33291000
715,59,1,4491000,4491000
716,148,2,5690500,11381000
716,201,1,4990000,4990000
717,249,1,320000,320000
717,58,1,7115500,7115500
717,23,1,36990000,36990000
718,137,1,3990000,3990000
719,15,3,4990000,14970000
720,155,2,26590500,53181000
721,59,1,4990000,4990000
722,260,1,18040500,18040500
722,77,1,237500,237500
723,33,1,250000,250000
723,45,1,9490000,9490000
724,130,1,7490000,7490000
725,181,1,4990000,4990000
726,106,1,7990000,7990000
727,280,1,4590000,4590000
728,179,1,288000,288000
729,76,1,22990000,22990000
730,46,1,7990000,7990000
731,34,1,18990000,18990000
731,316,1,2990000,2990000
732,8,1,1890000,1890000
733,208,1,114000,114000
734,59,1,4990000,4990000
734,112,1,27990000,27990000
735,317,2,31990000,63980000
735,34,1,18990000,18990000
736,40,1,1890000,1890000
736,168,1,27990000,27990000
737,161,1,18990000,18990000
738,32,1,11990000,11990000
738,173,2,17091000,34182000
739,163,2,17091000,34182000
740,178,1,2990000,2990000
741,42,1,9015500,9015500
742,229,1,237500,237500
743,148,1,5990000,5990000
743,267,1,8541000,8541000
744,306,1,1890000,1890000
745,168,1,27990000,27990000
746,114,1,31990000,31990000
746,167,2,33291000,66582000
746,314,2,27990000,55980000
747,103,1,20691000,20691000
748,187,1,4990000,4990000
749,75,1,6490000,6490000
749,306,1,1795500,1795500
749,274,1,11990000,11990000
750,304,1,7191000,7191000
751,128,1,450000,450000
752,198,1,11990000,11990000
753,51,1,405000,405000
754,237,1,8541000,8541000
755,309,1,36990000,36990000
756,203,1,27990000,27990000
756,42,1,9490000,9490000
757,205,1,6490000,6490000
758,37,1,120000,120000
759,4,1,320000,320000
759,110,1,4990000,4990000
760,13,1,27990000,27990000
761,195,1,2490000,2490000
761,200,2,27990000,55980000
762,147,1,11990000,11990000
763,271,1,5841000,5841000
764,59,1,4990000,4990000
765,88,1,7191000,7191000
765,43,1,9490000,9490000
766,13,1,27990000,27990000
766,89,2,3315500,6631000
767,156,1,25191000,25191000
768,313,1,2365500,2365500
769,84,1,9490000,9490000
770,106,1,7590500,7590500
771,306,1,1890000,1890000
772,241,1,4590000,4590000
773,14,1,250000,250000
