desc_id,issue_desc,issue_category
32,tình trạng: nút nguồn bị kẹt xảy ra sau khi rơi,KHAC
33,khach hang phan anh loa ngoai re khong nghe ro khach chua tung sua o dau,KHAC
34,KHÁCH BÁO BÁO PIN SAI PHẦN TRĂM NHẢY LOẠN KHÁCH CHƯA TỪNG SỬA Ở ĐÂU,PIN
35,khách hàng phản ánh pin tụt rất nhanh dùng 2 tiếng đã hết đã thử khởi động lại không được,PIN
36,khach hang phan anh roi bon rua may chap chon xay ra sau khi roi,NUOC_VAO
37,kh nói không cài được ứng dụng báo lỗi bị từ tuần trước,PHAN_MEM
38,kh nói máy rơi vào nước không lên nguồn mới bị 2 ngày nay,NUOC_VAO
39,khách báo chân sạc lỏng phải giữ mới sạc được bị từ tuần trước,SAC
40,khách báo pin tụt rất nhanh dùng 2 tiếng đã hết mới bị 2 ngày nay,PIN
41,khách báo báo pin sai phần trăm nhảy loạn xảy ra sau khi rơi,PIN
42,khách hàng phản ánh máy vào nước màn hình loang ố xảy ra sau khi rơi,NUOC_VAO
43,khách báo máy phồng pin cấn màn hình,PIN
44,tình trạng: cắm sạc máy nóng bất thường máy còn bảo hành,SAC
45,nút nguồn bị kẹt máy còn bảo hành,KHAC
46,khách báo máy không giữ được pin qua đêm khách chưa từng sửa ở đâu,PIN
47,kh nói màn hình bị ám vàng một góc bị từ tuần trước,MAN_HINH
48,khách báo màn hình chớp tắt liên tục khách chưa từng sửa ở đâu,MAN_HINH
49,kh nói cảm ứng loạn không bấm được máy còn bảo hành,MAN_HINH
50,khách báo cắm sạc báo lỗi phụ kiện,SAC
51,tinh trang: may tu tat khi con 30% pin may con bao hanh,PIN
52,khách báo sạc rất chậm mất cả đêm máy còn bảo hành,SAC
53,tình trạng: màn hình bị sọc dọc xảy ra sau khi rơi,MAN_HINH
54,không nhận sim xảy ra sau khi rơi,KHAC
55,khách báo điểm chết trên màn hình bị từ tuần trước,MAN_HINH
56,khách hàng phản ánh màn hình bị hở sáng viền dưới,MAN_HINH
57,báo pin sai phần trăm nhảy loạn máy còn bảo hành,PIN
58,may bi may co tieng keu la ben trong,KHAC
59,KHÁCH HÀNG PHẢN ÁNH ĐIỂM CHẾT TRÊN MÀN HÌNH BỊ TỪ TUẦN TRƯỚC,MAN_HINH
60,rơi bồn rửa máy chập chờn,NUOC_VAO
61,khách báo chân sạc lỏng phải giữ mới sạc được máy còn bảo hành,SAC
62,chân sạc lỏng phải giữ mới sạc được xảy ra sau khi rơi,SAC
63,cảm ứng chỗ được chỗ không khách chưa từng sửa ở đâu,MAN_HINH
64,khách báo máy phồng pin cấn màn hình khách chưa từng sửa ở đâu,PIN
65,khách hàng phản ánh máy rơi vào nước không lên nguồn bị từ tuần trước,NUOC_VAO
66,màn hình bị ám vàng một góc đã thử khởi động lại không được,MAN_HINH
67,kh nói máy rung liên tục không dừng khách chưa từng sửa ở đâu,KHAC
68,khách báo sạc vào nhưng không nhận cáp mới bị 2 ngày nay,SAC
69,may bi wifi không kết nối được sau cập nhật bị từ tuần trước,PHAN_MEM
70,điểm chết trên màn hình khách chưa từng sửa ở đâu,MAN_HINH
71,màn hình xuất hiện vệt mực loang xảy ra sau khi rơi,MAN_HINH
72,cảm ứng chỗ được chỗ không đã thử khởi động lại không được,MAN_HINH
73,khách hàng phản ánh điểm chết trên màn hình xảy ra sau khi rơi,MAN_HINH
74,tình trạng: màn hình bị hở sáng viền dưới bị từ tuần trước,MAN_HINH
75,khach hang phan anh man hinh den khong len bi tu tuan truoc,MAN_HINH
76,khách hàng phản ánh cắm sạc máy nóng bất thường máy còn bảo hành,SAC
77,khách báo pin nóng bất thường khi dùng máy còn bảo hành,PIN
78,kh nói cảm ứng loạn không bấm được xảy ra sau khi rơi,MAN_HINH
79,khách hàng phản ánh màn hình bị hở sáng viền dưới mới bị 2 ngày nay,MAN_HINH
80,kh noi cam ung loan khong bam duoc may con bao hanh,MAN_HINH
81,kh nói báo pin sai phần trăm nhảy loạn đã thử khởi động lại không được,PIN
82,khách báo màn hình bị sọc dọc bị từ tuần trước,MAN_HINH
83,kh nói pin nóng bất thường khi dùng mới bị 2 ngày nay,PIN
84,tình trạng: pin nóng bất thường khi dùng máy còn bảo hành,PIN
85,kh nói máy rơi vào nước không lên nguồn xảy ra sau khi rơi,NUOC_VAO
86,MAY BI CAMERA SAU BI MO NHU CO SUONG KHACH CHUA TUNG SUA O DAU,KHAC
87,wifi không kết nối được sau cập nhật đã thử khởi động lại không được,PHAN_MEM
88,pin sut 20% chi sau vai phut xay ra sau khi roi,PIN
89,may bi máy có tiếng kêu lạ bên trong đã thử khởi động lại không được,KHAC
90,tình trạng: cắm sạc máy nóng bất thường xảy ra sau khi rơi,SAC
91,tình trạng: màn hình đen không lên bị từ tuần trước,MAN_HINH
92,tinh trang: may bi do nuoc ngot vao khong sac duoc da thu khoi dong lai khong duoc,NUOC_VAO
93,may bi máy phồng pin cấn màn hình bị từ tuần trước,PIN
94,MAY BI MÁY PHỒNG PIN CẤN MÀN HÌNH BỊ TỪ TUẦN TRƯỚC,PIN
95,khong cai duoc ung dung bao loi da thu khoi dong lai khong duoc,PHAN_MEM
96,máy chạy chậm giật lag sau khi cập nhật xảy ra sau khi rơi,PHAN_MEM
97,KHÁCH BÁO SẠC ĐẦY NHƯNG DÙNG 30 PHÚT LÀ SẬP NGUỒN MÁY CÒN BẢO HÀNH,PIN
98,khách hàng phản ánh dính nước biển máy nóng và tắt,NUOC_VAO
99,may bi camera sau bi mo nhu co suong bi tu tuan truoc,KHAC
100,TINH TRANG: MAN HINH DEN KHONG LEN MAY CON BAO HANH,MAN_HINH
101,kh nói màn hình xuất hiện vệt mực loang mới bị 2 ngày nay,MAN_HINH
102,may bi máy rung liên tục không dừng,KHAC
103,màn hình bị sọc dọc khách chưa từng sửa ở đâu,MAN_HINH
104,may bi báo pin sai phần trăm nhảy loạn bị từ tuần trước,PIN
105,may bi cảm ứng chỗ được chỗ không bị từ tuần trước,MAN_HINH
106,khach bao man hinh bi ho sang vien duoi,MAN_HINH
107,KHÁCH HÀNG PHẢN ÁNH MÀN HÌNH BỊ SỌC DỌC XẢY RA SAU KHI RƠI,MAN_HINH
108,may bi ung dung tu thoat lien tuc da thu khoi dong lai khong duoc,PHAN_MEM
109,kh nói pin nóng bất thường khi dùng bị từ tuần trước,PIN
110,kh noi sac day nhung dung 30 phut la sap nguon xay ra sau khi roi,PIN
111,kh nói màn hình đen không lên,MAN_HINH
112,tình trạng: máy không giữ được pin qua đêm bị từ tuần trước,PIN
113,kh nói wifi không kết nối được sau cập nhật mới bị 2 ngày nay,PHAN_MEM
114,tình trạng: wifi không kết nối được sau cập nhật mới bị 2 ngày nay,PHAN_MEM
115,pin tụt rất nhanh dùng 2 tiếng đã hết bị từ tuần trước,PIN
116,khach hang phan anh cam sac bao loi phu kien da thu khoi dong lai khong duoc,SAC
117,cắm sạc không vào điện xảy ra sau khi rơi,SAC
118,tình trạng: rơi bồn rửa máy chập chờn,NUOC_VAO
119,khach bao pin sut 20% chi sau vai phut da thu khoi dong lai khong duoc,PIN
120,khách hàng phản ánh điểm chết trên màn hình,MAN_HINH
121,tình trạng: máy treo logo không vào được hệ điều hành xảy ra sau khi rơi,PHAN_MEM
122,may bi máy rung liên tục không dừng bị từ tuần trước,KHAC
123,kh nói màn hình nứt sau khi rơi,MAN_HINH
124,MAY KHONG GIU DUOC PIN QUA DEM XAY RA SAU KHI ROI,PIN
125,kh nói chân sạc lỏng phải giữ mới sạc được xảy ra sau khi rơi,SAC
126,may bi màn hình bị sọc dọc bị từ tuần trước,MAN_HINH
127,khách hàng phản ánh máy chạy chậm giật lag sau khi cập nhật mới bị 2 ngày nay,PHAN_MEM
128,kh nói màn hình đen không lên,MAN_HINH
129,kh nói nút nguồn bị kẹt máy còn bảo hành,KHAC
130,tình trạng: cổng sạc bị gãy chân,SAC
131,may bi máy treo logo không vào được hệ điều hành xảy ra sau khi rơi,PHAN_MEM
132,tình trạng: báo pin sai phần trăm nhảy loạn khách chưa từng sửa ở đâu,PIN
133,kh nói máy phồng pin cấn màn hình,PIN
134,màn hình nứt sau khi rơi máy còn bảo hành,MAN_HINH
135,tình trạng: sạc rất chậm mất cả đêm máy còn bảo hành,SAC
136,khách hàng phản ánh báo pin sai phần trăm nhảy loạn mới bị 2 ngày nay,PIN
137,tình trạng: cảm ứng loạn không bấm được bị từ tuần trước,MAN_HINH
138,may bi wifi không kết nối được sau cập nhật đã thử khởi động lại không được,PHAN_MEM
139,KHÁCH HÀNG PHẢN ÁNH ĐIỂM CHẾT TRÊN MÀN HÌNH MÁY CÒN BẢO HÀNH,MAN_HINH
140,máy tự khởi động lại nhiều lần trong ngày xảy ra sau khi rơi,PHAN_MEM
141,KHÁCH HÀNG PHẢN ÁNH MÁY TỰ TẮT KHI CÒN 30% PIN MỚI BỊ 2 NGÀY NAY,PIN
142,khách hàng phản ánh cắm sạc máy nóng bất thường đã thử khởi động lại không được,SAC
143,MAY BI BÁO PIN SAI PHẦN TRĂM NHẢY LOẠN ĐÃ THỬ KHỞI ĐỘNG LẠI KHÔNG ĐƯỢC,PIN
144,KHÁCH BÁO MÀN HÌNH BỊ SỌC DỌC BỊ TỪ TUẦN TRƯỚC,MAN_HINH
145,dính nước biển máy nóng và tắt bị từ tuần trước,NUOC_VAO
146,may bi màn hình chớp tắt liên tục xảy ra sau khi rơi,MAN_HINH
147,khách hàng phản ánh màn hình xuất hiện vệt mực loang khách chưa từng sửa ở đâu,MAN_HINH
148,may bi cắm sạc báo lỗi phụ kiện xảy ra sau khi rơi,SAC
149,may bi máy bị đổ nước ngọt vào không sạc được,NUOC_VAO
150,kh nói sạc vào nhưng không nhận cáp máy còn bảo hành,SAC
151,khách báo máy tự khởi động lại nhiều lần trong ngày mới bị 2 ngày nay,PHAN_MEM
152,khách báo sạc vào nhưng không nhận cáp khách chưa từng sửa ở đâu,SAC
153,màn hình bị ám vàng một góc bị từ tuần trước,MAN_HINH
154,kh nói máy bị đổ nước ngọt vào không sạc được xảy ra sau khi rơi,NUOC_VAO
155,tình trạng: điểm chết trên màn hình máy còn bảo hành,MAN_HINH
156,khách hàng phản ánh màn hình đen không lên máy còn bảo hành,MAN_HINH
157,TÌNH TRẠNG: MÁY VÀO NƯỚC MÀN HÌNH LOANG Ố MÁY CÒN BẢO HÀNH,NUOC_VAO
158,kh nói chân sạc lỏng phải giữ mới sạc được,SAC
159,may bi sạc vào nhưng không nhận cáp,SAC
160,tình trạng: wifi không kết nối được sau cập nhật máy còn bảo hành,PHAN_MEM
161,khách hàng phản ánh máy không giữ được pin qua đêm bị từ tuần trước,PIN
162,kh nói pin chai chỉ còn dùng được nửa ngày xảy ra sau khi rơi,PIN
163,khach bao man hinh bi ho sang vien duoi may con bao hanh,MAN_HINH
164,khách báo dính nước biển máy nóng và tắt máy còn bảo hành,NUOC_VAO
165,kh nói sạc vào nhưng không nhận cáp đã thử khởi động lại không được,SAC
166,khong cai duoc ung dung bao loi khach chua tung sua o dau,PHAN_MEM
167,máy không giữ được pin qua đêm mới bị 2 ngày nay,PIN
168,kh nói màn hình bị ám vàng một góc bị từ tuần trước,MAN_HINH
169,máy tự tắt khi còn 30% pin máy còn bảo hành,PIN
170,khách hàng phản ánh quên mật khẩu không mở được máy,PHAN_MEM
171,may bi máy không giữ được pin qua đêm mới bị 2 ngày nay,PIN
172,may bi màn hình xuất hiện vệt mực loang máy còn bảo hành,MAN_HINH
173,khách báo sạc rất chậm mất cả đêm bị từ tuần trước,SAC
174,may bi pin nóng bất thường khi dùng khách chưa từng sửa ở đâu,PIN
175,khách báo rơi bồn rửa máy chập chờn mới bị 2 ngày nay,NUOC_VAO
176,CẮM SẠC MÁY NÓNG BẤT THƯỜNG MÁY CÒN BẢO HÀNH,SAC
177,kh nói cổng sạc bị gãy chân,SAC
178,khach bao may bi do nuoc ngot vao khong sac duoc,NUOC_VAO
179,nút nguồn bị kẹt bị từ tuần trước,KHAC
180,pin nóng bất thường khi dùng máy còn bảo hành,PIN
181,tình trạng: pin sụt 20% chỉ sau vài phút đã thử khởi động lại không được,PIN
182,may bi roi bon rua may chap chon moi bi 2 ngay nay,NUOC_VAO
183,may bi pin sut 20% chi sau vai phut khach chua tung sua o dau,PIN
184,cắm sạc máy nóng bất thường khách chưa từng sửa ở đâu,SAC
185,khách hàng phản ánh cảm ứng loạn không bấm được,MAN_HINH
186,KHACH BAO MAY TREO LOGO KHONG VAO DUOC HE DIEU HANH KHACH CHUA TUNG SUA O DAU,PHAN_MEM
187,loa ngoài rè không nghe rõ xảy ra sau khi rơi,KHAC
188,khách báo điểm chết trên màn hình bị từ tuần trước,MAN_HINH
189,may bi sạc vào nhưng không nhận cáp xảy ra sau khi rơi,SAC
190,may bi sạc vào nhưng không nhận cáp đã thử khởi động lại không được,SAC
191,may bi sạc đầy nhưng dùng 30 phút là sập nguồn đã thử khởi động lại không được,PIN
192,khách hàng phản ánh màn hình đen không lên,MAN_HINH
193,tình trạng: màn hình bị ám vàng một góc mới bị 2 ngày nay,MAN_HINH
194,khách hàng phản ánh máy không giữ được pin qua đêm bị từ tuần trước,PIN
195,khách báo cảm ứng chỗ được chỗ không,MAN_HINH
196,TÌNH TRẠNG: PIN SỤT 20% CHỈ SAU VÀI PHÚT XẢY RA SAU KHI RƠI,PIN
197,khách hàng phản ánh máy rơi vào nước không lên nguồn khách chưa từng sửa ở đâu,NUOC_VAO
198,khách báo màn hình nứt sau khi rơi máy còn bảo hành,MAN_HINH
199,tinh trang: bao pin sai phan tram nhay loan da thu khoi dong lai khong duoc,PIN
200,tinh trang: loa ngoai re khong nghe ro bi tu tuan truoc,KHAC
201,khách hàng phản ánh cắm sạc máy nóng bất thường đã thử khởi động lại không được,SAC
202,KHÁCH BÁO MÀN HÌNH NỨT SAU KHI RƠI,MAN_HINH
203,CHÂN SẠC LỎNG PHẢI GIỮ MỚI SẠC ĐƯỢC MÁY CÒN BẢO HÀNH,SAC
204,tình trạng: camera sau bị mờ như có sương xảy ra sau khi rơi,KHAC
205,khách hàng phản ánh sạc đầy nhưng dùng 30 phút là sập nguồn bị từ tuần trước,PIN
206,khach hang phan anh man hinh nut sau khi roi may con bao hanh,MAN_HINH
207,khách hàng phản ánh ứng dụng tự thoát liên tục máy còn bảo hành,PHAN_MEM
208,kh noi cam sac khong vao dien khach chua tung sua o dau,SAC
209,cảm ứng chỗ được chỗ không bị từ tuần trước,MAN_HINH
210,may bi may tu khoi dong lai nhieu lan trong ngay may con bao hanh,PHAN_MEM
211,máy tự tắt khi còn 30% pin máy còn bảo hành,PIN
212,kh nói không nhận sim xảy ra sau khi rơi,KHAC
213,tình trạng: cảm ứng chỗ được chỗ không xảy ra sau khi rơi,MAN_HINH
214,may bi may roi vao nuoc khong len nguon khach chua tung sua o dau,NUOC_VAO
215,may bi màn hình nứt sau khi rơi đã thử khởi động lại không được,MAN_HINH
216,khách hàng phản ánh báo pin sai phần trăm nhảy loạn xảy ra sau khi rơi,PIN
217,MAY BI MÁY TỰ TẮT KHI CÒN 30% PIN XẢY RA SAU KHI RƠI,PIN
218,khách hàng phản ánh màn hình nứt sau khi rơi xảy ra sau khi rơi,MAN_HINH
219,pin tụt rất nhanh dùng 2 tiếng đã hết bị từ tuần trước,PIN
220,khách hàng phản ánh cắm sạc báo lỗi phụ kiện xảy ra sau khi rơi,SAC
221,khach bao bao pin sai phan tram nhay loan khach chua tung sua o dau,PIN
222,khách hàng phản ánh pin chai chỉ còn dùng được nửa ngày mới bị 2 ngày nay,PIN
223,kh nói máy phồng pin cấn màn hình xảy ra sau khi rơi,PIN
224,may bi rơi bồn rửa máy chập chờn đã thử khởi động lại không được,NUOC_VAO
225,khách hàng phản ánh màn hình bị hở sáng viền dưới đã thử khởi động lại không được,MAN_HINH
226,khach bao man hinh bi soc doc bi tu tuan truoc,MAN_HINH
227,khach bao pin sut 20% chi sau vai phut bi tu tuan truoc,PIN
228,cắm sạc máy nóng bất thường bị từ tuần trước,SAC
229,kh nói màn hình nứt sau khi rơi mới bị 2 ngày nay,MAN_HINH
230,máy chạy chậm giật lag sau khi cập nhật bị từ tuần trước,PHAN_MEM
231,khách hàng phản ánh cắm sạc không vào điện máy còn bảo hành,SAC
232,KHÁCH BÁO MÀN HÌNH NỨT SAU KHI RƠI BỊ TỪ TUẦN TRƯỚC,MAN_HINH
233,tình trạng: máy bị đổ nước ngọt vào không sạc được mới bị 2 ngày nay,NUOC_VAO
234,may bi điện thoại dính nước mưa loa bị rè xảy ra sau khi rơi,NUOC_VAO
235,tinh trang: pin chai chi con dung duoc nua ngay may con bao hanh,PIN
236,màn hình bị ám vàng một góc mới bị 2 ngày nay,MAN_HINH
237,may bi ứng dụng tự thoát liên tục,PHAN_MEM
238,tình trạng: pin nóng bất thường khi dùng mới bị 2 ngày nay,PIN
239,cổng sạc bị gãy chân bị từ tuần trước,SAC
240,tình trạng: màn hình bị ám vàng một góc xảy ra sau khi rơi,MAN_HINH
241,kh nói pin chai chỉ còn dùng được nửa ngày,PIN
242,may bi máy không giữ được pin qua đêm đã thử khởi động lại không được,PIN
243,kh nói màn hình bị hở sáng viền dưới máy còn bảo hành,MAN_HINH
244,ứng dụng tự thoát liên tục đã thử khởi động lại không được,PHAN_MEM
245,cảm ứng loạn không bấm được máy còn bảo hành,MAN_HINH
246,khách hàng phản ánh điểm chết trên màn hình,MAN_HINH
247,kh nói sạc vào nhưng không nhận cáp mới bị 2 ngày nay,SAC
248,khách báo pin nóng bất thường khi dùng đã thử khởi động lại không được,PIN
249,khach hang phan anh cam sac may nong bat thuong bi tu tuan truoc,SAC
250,may bi máy phồng pin cấn màn hình xảy ra sau khi rơi,PIN
251,khách báo máy bị đổ nước ngọt vào không sạc được đã thử khởi động lại không được,NUOC_VAO
252,MAY BI MÀN HÌNH ĐEN KHÔNG LÊN BỊ TỪ TUẦN TRƯỚC,MAN_HINH
253,máy không giữ được pin qua đêm mới bị 2 ngày nay,PIN
254,MAY BI DIEN THOAI DINH NUOC MUA LOA BI RE MAY CON BAO HANH,NUOC_VAO
255,tình trạng: máy không giữ được pin qua đêm đã thử khởi động lại không được,PIN
256,may bi màn hình bị hở sáng viền dưới đã thử khởi động lại không được,MAN_HINH
257,báo pin sai phần trăm nhảy loạn máy còn bảo hành,PIN
258,KHÁCH HÀNG PHẢN ÁNH MÀN HÌNH NỨT SAU KHI RƠI MÁY CÒN BẢO HÀNH,MAN_HINH
259,kh noi man hinh bi am vang mot goc xay ra sau khi roi,MAN_HINH
260,khách hàng phản ánh màn hình chớp tắt liên tục,MAN_HINH
261,khách hàng phản ánh cắm sạc báo lỗi phụ kiện mới bị 2 ngày nay,SAC
262,kh noi pin sut 20% chi sau vai phut may con bao hanh,PIN
263,MAY BI MAY TU TAT KHI CON 30% PIN MOI BI 2 NGAY NAY,PIN
264,khách báo sạc vào nhưng không nhận cáp mới bị 2 ngày nay,SAC
265,nút nguồn bị kẹt máy còn bảo hành,KHAC
266,khách báo máy vào nước màn hình loang ố bị từ tuần trước,NUOC_VAO
267,khách hàng phản ánh máy tự tắt khi còn 30% pin xảy ra sau khi rơi,PIN
268,kh nói cổng sạc bị gãy chân mới bị 2 ngày nay,SAC
269,khách báo máy không giữ được pin qua đêm bị từ tuần trước,PIN
270,MÀN HÌNH CHỚP TẮT LIÊN TỤC MỚI BỊ 2 NGÀY NAY,MAN_HINH
271,tình trạng: mic gọi điện đối phương không nghe được xảy ra sau khi rơi,KHAC
272,khach bao may treo logo khong vao duoc he dieu hanh bi tu tuan truoc,PHAN_MEM
273,tình trạng: báo pin sai phần trăm nhảy loạn khách chưa từng sửa ở đâu,PIN
274,khách báo sạc rất chậm mất cả đêm đã thử khởi động lại không được,SAC
275,kh noi man hinh den khong len moi bi 2 ngay nay,MAN_HINH
276,khách báo cổng sạc bám bụi không tiếp xúc bị từ tuần trước,SAC
277,khách hàng phản ánh cắm sạc báo lỗi phụ kiện bị từ tuần trước,SAC
278,may bi chan sac long phai giu moi sac duoc da thu khoi dong lai khong duoc,SAC
279,tinh trang: man hinh den khong len xay ra sau khi roi,MAN_HINH
280,khách hàng phản ánh pin sụt 20% chỉ sau vài phút bị từ tuần trước,PIN
281,tình trạng: loa ngoài rè không nghe rõ xảy ra sau khi rơi,KHAC
282,tình trạng: máy không giữ được pin qua đêm khách chưa từng sửa ở đâu,PIN
283,kh nói pin chai chỉ còn dùng được nửa ngày,PIN
284,máy rơi vào nước không lên nguồn,NUOC_VAO
285,loa ngoài rè không nghe rõ máy còn bảo hành,KHAC
286,khách hàng phản ánh ứng dụng tự thoát liên tục khách chưa từng sửa ở đâu,PHAN_MEM
287,may bi màn hình xuất hiện vệt mực loang,MAN_HINH
288,khách báo sạc rất chậm mất cả đêm khách chưa từng sửa ở đâu,SAC
289,khách hàng phản ánh máy tự tắt khi còn 30% pin bị từ tuần trước,PIN
290,kh nói máy chạy chậm giật lag sau khi cập nhật máy còn bảo hành,PHAN_MEM
291,may bi pin sụt 20% chỉ sau vài phút khách chưa từng sửa ở đâu,PIN
292,khách báo pin sụt 20% chỉ sau vài phút đã thử khởi động lại không được,PIN
293,kh nói pin sụt 20% chỉ sau vài phút đã thử khởi động lại không được,PIN
294,khách hàng phản ánh máy treo logo không vào được hệ điều hành đã thử khởi động lại không được,PHAN_MEM
295,tình trạng: cổng sạc bám bụi không tiếp xúc máy còn bảo hành,SAC
296,kh nói điện thoại dính nước mưa loa bị rè đã thử khởi động lại không được,NUOC_VAO
297,tình trạng: cổng sạc bám bụi không tiếp xúc xảy ra sau khi rơi,SAC
298,dính nước biển máy nóng và tắt máy còn bảo hành,NUOC_VAO
299,khách hàng phản ánh máy tự khởi động lại nhiều lần trong ngày xảy ra sau khi rơi,PHAN_MEM
300,tình trạng: cảm ứng chỗ được chỗ không khách chưa từng sửa ở đâu,MAN_HINH
301,tinh trang: man hinh den khong len da thu khoi dong lai khong duoc,MAN_HINH
302,khách hàng phản ánh cắm sạc máy nóng bất thường khách chưa từng sửa ở đâu,SAC
303,may bi màn hình bị hở sáng viền dưới máy còn bảo hành,MAN_HINH
304,khach hang phan anh man hinh bi soc doc,MAN_HINH
305,tình trạng: pin nóng bất thường khi dùng,PIN
306,tình trạng: báo pin sai phần trăm nhảy loạn bị từ tuần trước,PIN
307,may bi màn hình đen không lên mới bị 2 ngày nay,MAN_HINH
308,tình trạng: cổng sạc bám bụi không tiếp xúc đã thử khởi động lại không được,SAC
309,may bi cổng sạc bám bụi không tiếp xúc đã thử khởi động lại không được,SAC
310,tình trạng: pin nóng bất thường khi dùng mới bị 2 ngày nay,PIN
311,rơi bồn rửa máy chập chờn mới bị 2 ngày nay,NUOC_VAO
312,tinh trang: pin nong bat thuong khi dung,PIN
313,tình trạng: máy chạy chậm giật lag sau khi cập nhật máy còn bảo hành,PHAN_MEM
314,tình trạng: màn hình chớp tắt liên tục bị từ tuần trước,MAN_HINH
315,may bi pin nong bat thuong khi dung may con bao hanh,PIN
316,tình trạng: máy vào nước màn hình loang ố bị từ tuần trước,NUOC_VAO
317,kh nói sạc rất chậm mất cả đêm khách chưa từng sửa ở đâu,SAC
318,khách báo máy chạy chậm giật lag sau khi cập nhật bị từ tuần trước,PHAN_MEM
319,khách hàng phản ánh không cài được ứng dụng báo lỗi khách chưa từng sửa ở đâu,PHAN_MEM
320,kh nói chân sạc lỏng phải giữ mới sạc được,SAC
321,tình trạng: màn hình đen không lên xảy ra sau khi rơi,MAN_HINH
322,khách báo không cài được ứng dụng báo lỗi máy còn bảo hành,PHAN_MEM
323,may bi máy tự tắt khi còn 30% pin bị từ tuần trước,PIN
324,DÍNH NƯỚC BIỂN MÁY NÓNG VÀ TẮT ĐÃ THỬ KHỞI ĐỘNG LẠI KHÔNG ĐƯỢC,NUOC_VAO
325,MAY BI ĐIỂM CHẾT TRÊN MÀN HÌNH MỚI BỊ 2 NGÀY NAY,MAN_HINH
326,tình trạng: pin tụt rất nhanh dùng 2 tiếng đã hết đã thử khởi động lại không được,PIN
327,KHÁCH BÁO MÀN HÌNH BỊ HỞ SÁNG VIỀN DƯỚI KHÁCH CHƯA TỪNG SỬA Ở ĐÂU,MAN_HINH
328,kh noi may roi vao nuoc khong len nguon khach chua tung sua o dau,NUOC_VAO
329,khách báo màn hình nứt sau khi rơi mới bị 2 ngày nay,MAN_HINH
330,kh nói wifi không kết nối được sau cập nhật máy còn bảo hành,PHAN_MEM
331,KH NÓI PIN TỤT RẤT NHANH DÙNG 2 TIẾNG ĐÃ HẾT XẢY RA SAU KHI RƠI,PIN
332,tình trạng: màn hình đen không lên mới bị 2 ngày nay,MAN_HINH
333,khách hàng phản ánh pin nóng bất thường khi dùng xảy ra sau khi rơi,PIN
334,kh nói màn hình đen không lên máy còn bảo hành,MAN_HINH
335,khách báo màn hình đen không lên xảy ra sau khi rơi,MAN_HINH
336,khách báo máy không giữ được pin qua đêm đã thử khởi động lại không được,PIN
337,cam ung loan khong bam duoc bi tu tuan truoc,MAN_HINH
338,màn hình bị sọc dọc máy còn bảo hành,MAN_HINH
