part_id,part_code,part_name,unit_price
129,CMH-SS-03,Cáp màn hình Samsung loại 3,650000
130,CMH-XM-01,Cáp màn hình Xiaomi loại 1,2200000
131,CMH-XM-02,Cáp màn hình Xiaomi loại 2,420000
132,CMH-XM-03,Cáp màn hình Xiaomi loại 3,280000
133,CMH-OP-01,Cáp màn hình OPPO loại 1,280000
134,CMH-OP-02,Cáp màn hình OPPO loại 2,150000
135,CMH-OP-03,Cáp màn hình OPPO loại 3,1450000
136,CMH-RM-01,Cáp màn hình realme loại 1,150000
137,CMH-RM-02,Cáp màn hình realme loại 2,650000
138,CMH-RM-03,Cáp màn hình realme loại 3,150000
139,CMH-VV-01,Cáp màn hình vivo loại 1,420000
140,CMH-VV-02,Cáp màn hình vivo loại 2,1450000
141,CMH-VV-03,Cáp màn hình vivo loại 3,150000
142,CMH-AP-01,Cáp màn hình Apple loại 1,2200000
143,CMH-AP-02,Cáp màn hình Apple loại 2,150000
144,CMH-AP-03,Cáp màn hình Apple loại 3,150000
145,KS-SS-01,Khay sim Samsung loại 1,1450000
146,KS-SS-02,Khay sim Samsung loại 2,650000
147,KS-SS-03,Khay sim Samsung loại 3,150000
148,KS-XM-01,Khay sim Xiaomi loại 1,150000
149,KS-XM-02,Khay sim Xiaomi loại 2,420000
150,KS-XM-03,Khay sim Xiaomi loại 3,980000
151,KS-OP-01,Khay sim OPPO loại 1,650000
152,KS-OP-02,Khay sim OPPO loại 2,420000
153,KS-OP-03,Khay sim OPPO loại 3,280000
154,KS-RM-01,Khay sim realme loại 1,980000
155,KS-RM-02,Khay sim realme loại 2,650000
156,KS-RM-03,Khay sim realme loại 3,1450000
157,KS-VV-01,Khay sim vivo loại 1,980000
158,KS-VV-02,Khay sim vivo loại 2,280000
159,KS-VV-03,Khay sim vivo loại 3,1450000
160,KS-AP-01,Khay sim Apple loại 1,420000
161,KS-AP-02,Khay sim Apple loại 2,650000
162,KS-AP-03,Khay sim Apple loại 3,2200000
163,KD-SS-01,Keo dán màn Samsung loại 1,1450000
164,KD-SS-02,Keo dán màn Samsung loại 2,2200000
165,KD-SS-03,Keo dán màn Samsung loại 3,420000
166,KD-XM-01,Keo dán màn Xiaomi loại 1,1450000
167,KD-XM-02,Keo dán màn Xiaomi loại 2,150000
168,KD-XM-03,Keo dán màn Xiaomi loại 3,980000
169,KD-OP-01,Keo dán màn OPPO loại 1,420000
170,KD-OP-02,Keo dán màn OPPO loại 2,980000
171,KD-OP-03,Keo dán màn OPPO loại 3,1450000
172,KD-RM-01,Keo dán màn realme loại 1,650000
173,KD-RM-02,Keo dán màn realme loại 2,650000
174,KD-RM-03,Keo dán màn realme loại 3,150000
175,KD-VV-01,Keo dán màn vivo loại 1,1450000
176,KD-VV-02,Keo dán màn vivo loại 2,280000
177,KD-VV-03,Keo dán màn vivo loại 3,420000
178,KD-AP-01,Keo dán màn Apple loại 1,1450000
179,KD-AP-02,Keo dán màn Apple loại 2,150000
180,KD-AP-03,Keo dán màn Apple loại 3,420000
