response_id,ticket_id,score,comment,responded_at
40,2924,5,"Nhân viên nhiệt tình, sửa nhanh",2025-04-29 09:24
41,3947,3,Tạm được,2026-07-06 04:39
42,2195,5,Trả máy đúng hẹn,2026-07-08 20:41
43,140,3,,2026-08-20 11:29
44,6508,4,Sửa được nhưng phải chờ linh kiện,2025-02-18 09:16
45,224,5,"Rất hài lòng, máy chạy tốt lại",2025-12-17 18:36
46,213,5,Kỹ thuật viên giải thích rõ ràng,2024-12-14 01:50
47,6360,1,,2026-07-10 06:05
48,6699,1,Mất phụ kiện kèm theo máy,2025-06-22 22:24
49,6339,5,"Nhân viên nhiệt tình, sửa nhanh",2025-05-20 22:31
50,6978,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2024-09-06 03:40
51,6398,3,,2025-03-18 17:41
52,5832,2,,2026-06-30 00:14
53,1643,4,"Ổn, chỉ hơi lâu một chút",2026-07-19 01:04
54,6048,4,,2025-04-23 00:25
55,3619,3,Bình thường,2026-07-28 14:56
56,7075,5,Kỹ thuật viên giải thích rõ ràng,2025-01-14 08:12
57,955,3,Chờ hơi lâu,2024-11-27 08:57
58,7327,3,,2025-12-01 01:15
59,3816,4,"Tốt, giá hơi cao",2025-05-26 21:24
60,2705,3,Tạm được,2026-06-09 09:34
61,1075,4,"Ổn, chỉ hơi lâu một chút",2025-02-11 18:35
62,4700,3,,2026-07-22 03:08
63,1327,5,,2026-01-08 19:35
64,5795,5,Dịch vụ tốt sẽ quay lại,2026-07-23 01:33
65,7114,1,Sửa xong vẫn bị lỗi cũ,2025-12-03 23:41
66,7579,5,"Nhân viên nhiệt tình, sửa nhanh",2025-05-26 00:00
67,7613,5,Trả máy đúng hẹn,2025-09-29 06:57
68,4944,4,"Tốt, giá hơi cao",2026-01-20 00:14
69,734,4,,2025-11-11 22:06
70,5514,5,"Nhân viên nhiệt tình, sửa nhanh",2026-03-22 00:45
71,1012,5,"Rất hài lòng, máy chạy tốt lại",2026-07-22 15:10
72,4084,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2026-06-16 23:35
73,4651,5,Trả máy đúng hẹn,2025-02-25 12:55
74,2793,5,"Nhân viên nhiệt tình, sửa nhanh",2025-03-19 22:55
75,481,5,,2025-09-12 06:56
76,5783,1,,2025-09-09 17:29
77,7187,5,"Rất hài lòng, máy chạy tốt lại",2024-11-16 21:22
78,4810,5,"Rất hài lòng, máy chạy tốt lại",2025-03-24 18:06
79,7080,4,"Tốt, giá hơi cao",2025-04-21 03:58
80,5650,5,,2025-03-03 05:53
81,1579,5,Kỹ thuật viên giải thích rõ ràng,2025-07-03 03:13
82,3140,3,Máy sửa xong nhưng vẫn hơi nóng,2024-12-11 13:21
83,6523,2,,2025-02-01 13:33
84,6027,5,Trả máy đúng hẹn,2024-12-01 11:03
85,5037,5,Trả máy đúng hẹn,2025-09-26 07:32
86,3404,5,,2025-06-13 03:08
87,3194,5,Trả máy đúng hẹn,2026-01-28 22:51
88,2779,4,"Ổn, chỉ hơi lâu một chút",2026-01-30 22:54
89,4138,4,,2026-01-16 08:59
90,5415,2,Nhân viên trả lời không rõ ràng,2026-06-17 00:20
91,3289,3,,2025-07-17 02:46
92,7079,2,,2025-11-26 05:20
93,7495,3,Bình thường,2025-11-10 13:32
94,1625,5,"Nhân viên nhiệt tình, sửa nhanh",2025-05-09 03:36
95,4802,5,"Nhân viên nhiệt tình, sửa nhanh",2026-06-20 18:15
96,3570,5,,2026-07-18 01:06
97,5560,3,Chờ hơi lâu,2024-11-04 09:16
98,2122,4,"Tốt, giá hơi cao",2024-12-08 20:58
99,2307,4,"Tốt, giá hơi cao",2024-12-06 06:35
100,1177,4,,2025-04-23 16:54
101,112,4,"Tốt, giá hơi cao",2025-04-14 08:16
102,6443,5,,2026-03-19 21:08
103,531,5,"Nhân viên nhiệt tình, sửa nhanh",2024-11-04 10:17
104,406,2,Gọi điện không ai nghe máy,2026-08-02 08:25
105,6009,5,"Rất hài lòng, máy chạy tốt lại",2024-09-05 22:11
106,3719,5,"Rất hài lòng, máy chạy tốt lại",2024-10-29 09:23
107,7792,5,Trả máy đúng hẹn,2024-10-20 13:49
108,6269,5,Dịch vụ tốt sẽ quay lại,2026-04-27 02:30
109,5738,5,Trả máy đúng hẹn,2026-03-04 12:28
110,4483,3,Tạm được,2025-07-30 16:21
111,6283,4,Sửa được nhưng phải chờ linh kiện,2025-02-28 22:58
112,7196,5,Dịch vụ tốt sẽ quay lại,2025-11-30 05:02
113,7262,2,,2026-06-10 09:32
114,1035,4,Sửa được nhưng phải chờ linh kiện,2025-10-12 00:48
115,272,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2024-11-14 00:30
116,1860,2,Gọi điện không ai nghe máy,2026-07-08 19:00
117,441,5,"Rất hài lòng, máy chạy tốt lại",2025-08-04 06:07
118,4152,4,"Tốt, giá hơi cao",2025-05-10 01:54
119,3142,3,Chờ hơi lâu,2024-12-20 14:12
120,2907,5,,2025-02-14 19:47
121,1169,1,Thái độ nhân viên không tốt,2024-12-17 09:10
122,2002,4,"Ổn, chỉ hơi lâu một chút",2026-05-04 09:01
123,7037,5,Kỹ thuật viên giải thích rõ ràng,2026-07-17 04:38
124,7536,2,Phải quay lại lần 2 mới xong,2026-02-28 10:25
125,3095,5,,2026-07-28 04:10
126,5751,3,Tạm được,2026-03-08 06:36
127,4965,4,Sửa được nhưng phải chờ linh kiện,2026-05-07 14:30
128,7677,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2026-05-27 09:00
129,7178,5,"Nhân viên nhiệt tình, sửa nhanh",2026-05-08 03:22
130,2220,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2026-07-23 20:05
131,3528,4,Sửa được nhưng phải chờ linh kiện,2025-12-21 16:35
132,5903,5,"Nhân viên nhiệt tình, sửa nhanh",2026-03-14 02:04
133,39,5,,2025-11-25 16:18
134,4021,5,,2025-03-03 06:58
135,1715,5,"Nhân viên nhiệt tình, sửa nhanh",2024-12-06 11:32
136,3968,4,"Ổn, chỉ hơi lâu một chút",2025-07-04 00:12
137,6452,4,"Tốt, giá hơi cao",2026-03-06 15:46
138,7436,5,Trả máy đúng hẹn,2026-04-09 23:02
139,4674,5,Kỹ thuật viên giải thích rõ ràng,2026-03-17 18:36
140,4728,2,,2025-07-18 03:26
141,4088,3,Tạm được,2026-08-06 07:05
142,4033,5,,2025-01-27 02:16
143,3698,4,,2026-04-17 06:14
144,6109,4,Sửa được nhưng phải chờ linh kiện,2025-12-20 07:46
145,1181,5,,2026-01-07 08:02
146,5454,4,"Tốt, giá hơi cao",2026-08-08 04:53
147,4940,3,Bình thường,2025-07-15 20:24
148,466,4,Sửa được nhưng phải chờ linh kiện,2026-01-10 08:03
149,847,3,,2024-12-31 04:26
150,4567,4,Sửa được nhưng phải chờ linh kiện,2026-01-20 03:27
151,1096,3,Tạm được,2025-11-05 02:53
152,5472,3,Chờ hơi lâu,2025-07-07 01:48
153,3748,4,"Tốt, giá hơi cao",2025-08-20 22:02
154,7281,5,Trả máy đúng hẹn,2025-08-23 11:02
155,302,3,,2024-12-10 11:46
156,4315,4,,2026-05-12 05:01
157,6879,4,"Tốt, giá hơi cao",2025-10-17 09:39
158,2039,4,,2024-09-29 06:21
159,469,5,"Rất hài lòng, máy chạy tốt lại",2025-04-16 06:46
160,5776,5,,2026-06-23 21:33
161,2492,5,Kỹ thuật viên giải thích rõ ràng,2026-05-27 00:00
162,5353,4,Sửa được nhưng phải chờ linh kiện,2026-06-28 19:24
163,1683,5,,2024-11-08 04:47
164,3341,2,,2024-12-31 07:30
165,3273,5,,2026-02-02 03:51
166,3434,2,Nhân viên trả lời không rõ ràng,2025-04-20 20:37
167,5575,4,,2025-07-11 22:33
168,4323,4,"Tốt, giá hơi cao",2026-09-02 23:10
169,2994,2,Nhân viên trả lời không rõ ràng,2026-07-22 12:08
170,765,3,,2025-06-10 06:53
171,262,5,"Nhân viên nhiệt tình, sửa nhanh",2025-04-15 07:57
172,5286,3,Chờ hơi lâu,2025-02-08 05:24
173,4914,5,,2026-04-13 15:56
174,1322,4,Sửa được nhưng phải chờ linh kiện,2025-03-22 21:02
175,4422,2,Nhân viên trả lời không rõ ràng,2026-08-12 16:38
176,7069,5,,2025-11-20 03:44
177,2193,2,,2026-07-23 15:57
178,2563,5,,2025-05-03 00:53
179,6080,4,Sửa được nhưng phải chờ linh kiện,2026-03-20 05:48
180,2446,4,Sửa được nhưng phải chờ linh kiện,2026-01-02 14:58
181,694,5,"Nhân viên nhiệt tình, sửa nhanh",2025-10-16 00:25
182,6482,5,"Rất hài lòng, máy chạy tốt lại",2025-11-16 16:30
183,976,4,"Tốt, giá hơi cao",2025-06-27 21:22
184,876,3,,2025-12-12 17:41
185,7,1,Sửa xong vẫn bị lỗi cũ,2026-07-15 10:29
186,2159,3,Bình thường,2024-10-13 20:34
187,4427,5,Trả máy đúng hẹn,2025-01-30 00:04
188,5522,5,,2026-01-01 21:45
189,700,5,,2025-07-13 03:14
190,3899,3,,2024-10-18 00:11
191,2027,3,Máy sửa xong nhưng vẫn hơi nóng,2024-09-06 17:25
192,722,4,Sửa được nhưng phải chờ linh kiện,2024-12-19 00:00
193,3012,2,Nhân viên trả lời không rõ ràng,2026-02-14 04:08
194,5545,1,Mất phụ kiện kèm theo máy,2026-02-08 19:27
195,5945,3,Tạm được,2025-05-21 14:39
196,3117,3,Chờ hơi lâu,2025-09-24 04:03
197,5586,4,"Ổn, chỉ hơi lâu một chút",2026-03-09 00:50
198,6666,5,Kỹ thuật viên giải thích rõ ràng,2024-11-08 08:38
199,846,4,"Ổn, chỉ hơi lâu một chút",2026-07-08 04:00
200,4939,5,"Rất hài lòng, máy chạy tốt lại",2026-04-02 15:48
201,1711,1,,2026-04-09 09:22
202,2293,3,,2026-07-09 10:00
203,7665,5,"Nhân viên nhiệt tình, sửa nhanh",2025-12-29 00:35
204,1172,5,Trả máy đúng hẹn,2025-11-27 21:45
205,7115,5,"Rất hài lòng, máy chạy tốt lại",2025-03-29 05:31
206,4789,5,"Rất hài lòng, máy chạy tốt lại",2025-09-26 02:34
207,3369,5,,2026-08-04 00:01
208,2878,5,"Rất hài lòng, máy chạy tốt lại",2025-10-12 23:55
209,5750,3,,2025-02-02 00:53
210,3926,5,Kỹ thuật viên giải thích rõ ràng,2025-06-15 03:08
211,6866,3,Bình thường,2025-01-03 18:57
212,5036,5,"Nhân viên nhiệt tình, sửa nhanh",2025-05-31 03:01
213,4354,2,,2025-01-23 08:17
214,623,3,Chờ hơi lâu,2026-03-02 02:06
215,5224,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-01-27 05:33
216,4687,5,"Nhân viên nhiệt tình, sửa nhanh",2025-05-18 23:56
217,5953,5,Trả máy đúng hẹn,2026-04-27 00:49
218,1524,4,,2024-09-08 08:33
219,6141,5,Dịch vụ tốt sẽ quay lại,2024-11-04 07:53
220,1599,4,,2026-06-13 23:42
221,121,3,Máy sửa xong nhưng vẫn hơi nóng,2025-02-16 02:03
222,4462,2,,2024-09-14 21:42
223,5177,4,Sửa được nhưng phải chờ linh kiện,2026-07-25 06:44
224,3681,3,Chờ hơi lâu,2025-09-02 17:41
225,3009,4,,2025-04-23 21:48
226,2169,4,"Ổn, chỉ hơi lâu một chút",2025-07-27 02:38
227,439,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-03-16 23:08
228,4099,4,,2026-08-17 01:26
229,6019,4,,2025-01-30 06:49
230,2133,2,Gọi điện không ai nghe máy,2025-10-13 08:11
231,2630,4,"Ổn, chỉ hơi lâu một chút",2025-02-13 17:54
232,3352,4,Sửa được nhưng phải chờ linh kiện,2025-11-09 05:32
233,4423,3,Bình thường,2025-10-12 21:18
234,155,5,,2026-04-16 23:38
235,6970,2,Phải quay lại lần 2 mới xong,2025-10-08 14:38
236,3563,5,"Rất hài lòng, máy chạy tốt lại",2025-09-24 19:42
237,1335,5,"Nhân viên nhiệt tình, sửa nhanh",2025-12-22 03:24
238,4211,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2026-04-09 04:40
239,3833,5,Kỹ thuật viên giải thích rõ ràng,2026-08-11 23:16
240,2231,5,"Rất hài lòng, máy chạy tốt lại",2025-06-08 07:31
241,1475,3,Tạm được,2026-04-13 21:14
242,4487,3,Bình thường,2026-05-13 02:29
243,3668,5,Dịch vụ tốt sẽ quay lại,2025-07-09 11:56
244,4900,5,,2026-05-29 03:30
245,3088,2,,2025-06-08 14:02
246,3828,2,Phải quay lại lần 2 mới xong,2025-01-26 23:13
247,2749,1,Sửa xong vẫn bị lỗi cũ,2026-03-17 08:21
248,5392,4,"Tốt, giá hơi cao",2025-10-08 19:51
249,4620,3,Bình thường,2026-06-07 05:48
250,2414,3,Tạm được,2025-01-25 16:14
251,6755,5,,2025-08-13 08:33
252,1306,4,"Tốt, giá hơi cao",2026-07-28 12:20
253,633,5,"Rất hài lòng, máy chạy tốt lại",2025-12-02 22:22
254,2509,3,,2024-12-05 02:00
255,1416,5,Kỹ thuật viên giải thích rõ ràng,2026-02-01 08:57
256,4527,4,,2024-10-10 07:01
257,1228,4,Sửa được nhưng phải chờ linh kiện,2025-01-01 03:53
258,3191,3,Bình thường,2026-05-01 03:18
259,1370,5,Dịch vụ tốt sẽ quay lại,2025-04-19 12:49
260,5528,3,Máy sửa xong nhưng vẫn hơi nóng,2025-05-04 19:45
261,3070,4,,2025-10-05 18:58
262,3003,5,Kỹ thuật viên giải thích rõ ràng,2024-11-28 22:50
263,148,5,Trả máy đúng hẹn,2026-04-26 21:46
264,6777,4,"Ổn, chỉ hơi lâu một chút",2026-02-26 22:45
265,2423,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-10-17 20:15
266,1779,5,Kỹ thuật viên giải thích rõ ràng,2024-09-28 04:17
267,5081,4,"Ổn, chỉ hơi lâu một chút",2026-08-23 05:06
268,2615,3,Tạm được,2024-10-19 20:14
269,6184,5,Dịch vụ tốt sẽ quay lại,2025-02-05 09:57
270,7013,4,Sửa được nhưng phải chờ linh kiện,2024-10-26 03:59
271,7462,5,Trả máy đúng hẹn,2026-07-25 18:31
272,7703,4,Sửa được nhưng phải chờ linh kiện,2026-04-01 03:50
273,796,5,"Rất hài lòng, máy chạy tốt lại",2024-11-30 19:11
274,16,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-06-12 09:37
275,3091,5,Dịch vụ tốt sẽ quay lại,2025-04-15 21:36
276,1709,5,"Rất hài lòng, máy chạy tốt lại",2024-11-28 21:48
277,2676,1,Sửa xong vẫn bị lỗi cũ,2025-12-20 01:04
278,5840,3,,2026-04-12 20:34
279,1052,1,Thái độ nhân viên không tốt,2025-06-03 22:54
280,3354,5,Dịch vụ tốt sẽ quay lại,2025-09-26 02:32
281,3542,3,Chờ hơi lâu,2025-07-27 04:01
282,952,5,"Rất hài lòng, máy chạy tốt lại",2024-12-18 20:40
283,283,4,,2025-05-29 13:53
284,4002,5,,2024-09-29 06:02
285,4856,5,"Rất hài lòng, máy chạy tốt lại",2026-07-04 13:03
286,1727,1,Trễ hẹn cả tuần không ai báo,2025-09-01 08:11
287,3893,5,Dịch vụ tốt sẽ quay lại,2025-03-17 05:29
288,2424,4,,2025-02-06 14:49
289,1836,5,,2024-10-12 19:35
290,5470,5,"Rất hài lòng, máy chạy tốt lại",2026-04-20 00:01
291,6895,5,Dịch vụ tốt sẽ quay lại,2024-10-19 00:24
292,7443,4,,2026-07-01 06:29
293,6965,5,Trả máy đúng hẹn,2026-03-26 23:17
294,2347,5,Trả máy đúng hẹn,2026-03-23 22:00
295,293,4,Sửa được nhưng phải chờ linh kiện,2025-09-17 23:09
296,2529,5,Trả máy đúng hẹn,2026-03-20 17:31
297,6334,4,,2025-11-03 10:26
298,6407,4,Sửa được nhưng phải chờ linh kiện,2025-12-11 15:59
299,2261,2,,2026-01-15 10:44
300,3172,2,Phải quay lại lần 2 mới xong,2026-07-24 07:17
301,6237,5,Kỹ thuật viên giải thích rõ ràng,2026-05-06 00:27
302,1911,2,,2025-07-28 00:55
303,391,4,"Tốt, giá hơi cao",2026-01-19 08:05
304,4085,5,"Nhân viên nhiệt tình, sửa nhanh",2025-05-28 23:02
305,7485,5,Dịch vụ tốt sẽ quay lại,2025-01-24 17:46
306,1837,2,Nhân viên trả lời không rõ ràng,2025-11-20 13:53
307,2893,4,"Tốt, giá hơi cao",2025-09-11 00:09
308,6432,3,Bình thường,2025-04-29 18:55
309,2360,5,Trả máy đúng hẹn,2025-09-25 08:47
310,7365,5,Dịch vụ tốt sẽ quay lại,2025-04-07 11:05
311,1585,5,"Rất hài lòng, máy chạy tốt lại",2025-02-17 16:48
312,1816,1,Thái độ nhân viên không tốt,2026-01-29 00:48
313,5405,2,Gọi điện không ai nghe máy,2025-04-04 00:43
314,5976,5,,2025-01-21 09:37
315,2753,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-10-17 11:41
316,3782,5,,2024-11-13 20:15
317,3861,5,,2026-01-24 17:56
318,2205,4,"Ổn, chỉ hơi lâu một chút",2026-02-02 03:49
319,7260,4,"Tốt, giá hơi cao",2024-10-01 22:29
320,930,3,,2025-10-29 12:19
321,6661,5,,2026-07-06 19:23
322,1670,2,Trả máy trễ hẹn 3 ngày,2024-12-09 21:23
323,4798,5,"Nhân viên nhiệt tình, sửa nhanh",2026-07-09 22:37
324,947,5,,2025-12-23 18:01
325,4420,5,"Nhân viên nhiệt tình, sửa nhanh",2025-06-29 02:45
326,3737,4,,2025-02-01 20:15
327,1636,4,"Ổn, chỉ hơi lâu một chút",2025-02-06 18:19
328,4107,5,Trả máy đúng hẹn,2024-12-24 23:26
329,4353,4,,2025-06-25 14:53
330,2482,3,Tạm được,2024-10-04 01:50
331,3429,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-06-26 13:58
332,1900,4,"Ổn, chỉ hơi lâu một chút",2025-11-08 19:42
333,3399,1,Sửa xong vẫn bị lỗi cũ,2026-06-23 19:40
334,6277,4,Sửa được nhưng phải chờ linh kiện,2026-01-03 18:37
335,1482,3,Bình thường,2025-11-01 16:57
336,4594,5,"Rất hài lòng, máy chạy tốt lại",2026-01-09 09:03
337,5568,3,Chờ hơi lâu,2025-07-23 17:57
338,1922,5,"Nhân viên nhiệt tình, sửa nhanh",2024-12-19 01:54
339,2182,4,Sửa được nhưng phải chờ linh kiện,2026-06-17 00:57
340,7134,3,,2025-10-13 03:00
341,4837,4,Sửa được nhưng phải chờ linh kiện,2025-07-25 07:30
342,7542,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2024-09-06 22:46
343,1509,4,"Ổn, chỉ hơi lâu một chút",2026-08-30 09:18
344,3089,4,,2026-07-14 18:31
345,6898,3,Máy sửa xong nhưng vẫn hơi nóng,2026-01-05 23:31
346,5431,3,Chờ hơi lâu,2025-08-01 08:41
347,425,2,Gọi điện không ai nghe máy,2025-10-27 21:32
348,6975,1,Sửa xong vẫn bị lỗi cũ,2025-06-19 04:35
349,2952,5,"Rất hài lòng, máy chạy tốt lại",2024-12-31 09:26
350,4283,4,"Ổn, chỉ hơi lâu một chút",2026-08-08 09:42
351,4101,4,,2026-02-10 07:10
352,4049,4,,2025-09-23 22:08
353,3309,5,"Rất hài lòng, máy chạy tốt lại",2025-02-19 08:24
354,4599,5,Dịch vụ tốt sẽ quay lại,2025-11-24 00:29
355,6611,5,Trả máy đúng hẹn,2026-07-10 02:54
356,4981,3,Máy sửa xong nhưng vẫn hơi nóng,2025-12-02 18:48
357,3691,5,Trả máy đúng hẹn,2024-11-05 11:50
358,7671,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-03-17 07:02
359,2191,4,"Ổn, chỉ hơi lâu một chút",2025-04-05 03:10
360,3073,4,"Tốt, giá hơi cao",2026-05-18 17:59
361,7164,4,"Tốt, giá hơi cao",2025-02-10 01:22
362,340,3,Bình thường,2026-06-07 11:17
363,2848,1,Sửa xong vẫn bị lỗi cũ,2026-01-13 05:33
364,1141,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2024-10-30 17:32
365,2467,4,"Tốt, giá hơi cao",2026-01-15 15:04
366,14,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-06-18 20:29
367,892,3,Máy sửa xong nhưng vẫn hơi nóng,2026-06-15 03:48
368,1489,4,"Tốt, giá hơi cao",2026-05-20 09:55
369,7294,3,Bình thường,2026-01-28 08:47
370,2393,5,Kỹ thuật viên giải thích rõ ràng,2026-01-22 09:36
371,1208,4,"Tốt, giá hơi cao",2026-04-26 15:30
372,5628,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2024-09-30 13:58
373,1477,5,,2026-05-05 22:15
374,6753,5,"Rất hài lòng, máy chạy tốt lại",2025-03-09 01:19
375,5315,4,"Ổn, chỉ hơi lâu một chút",2025-06-01 13:24
376,3523,3,,2025-07-19 10:12
377,3920,5,Kỹ thuật viên giải thích rõ ràng,2025-11-15 23:21
378,6582,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2026-07-26 03:57
379,7248,4,Sửa được nhưng phải chờ linh kiện,2025-07-21 21:31
380,2754,3,Chờ hơi lâu,2026-04-08 05:54
381,2588,2,Trả máy trễ hẹn 3 ngày,2026-01-13 05:01
382,3356,3,Chờ hơi lâu,2026-07-25 22:23
383,6678,5,,2025-02-20 21:49
384,4544,4,,2025-05-10 02:36
385,7620,4,,2026-07-08 17:39
386,708,5,Dịch vụ tốt sẽ quay lại,2026-07-24 07:17
387,4785,4,"Tốt, giá hơi cao",2026-04-12 16:17
388,2278,4,,2025-03-27 12:32
389,2218,5,Trả máy đúng hẹn,2025-09-28 08:57
390,7632,5,Dịch vụ tốt sẽ quay lại,2025-09-24 06:28
391,2950,1,Thái độ nhân viên không tốt,2026-03-15 20:22
392,3250,4,Sửa được nhưng phải chờ linh kiện,2025-05-19 01:57
393,7110,4,,2024-09-04 22:33
394,1950,5,Dịch vụ tốt sẽ quay lại,2026-01-18 19:22
395,6905,3,Chờ hơi lâu,2026-07-12 23:05
396,4377,4,Sửa được nhưng phải chờ linh kiện,2025-11-14 09:01
397,2559,5,"Nhân viên nhiệt tình, sửa nhanh",2024-11-08 00:57
398,4298,5,Dịch vụ tốt sẽ quay lại,2025-07-23 08:11
399,7039,4,Sửa được nhưng phải chờ linh kiện,2025-06-11 20:30
400,7607,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2026-03-09 04:13
401,3278,4,"Ổn, chỉ hơi lâu một chút",2025-04-23 06:45
402,4679,5,Kỹ thuật viên giải thích rõ ràng,2024-11-23 13:35
403,5710,3,Bình thường,2026-05-09 23:26
404,400,4,Sửa được nhưng phải chờ linh kiện,2025-12-23 13:55
405,3235,4,"Tốt, giá hơi cao",2025-08-16 05:57
406,6756,4,,2025-07-08 08:31
407,4300,5,,2025-03-27 05:33
408,6091,4,"Tốt, giá hơi cao",2025-01-14 15:01
409,1756,5,Dịch vụ tốt sẽ quay lại,2025-05-04 06:38
410,7184,3,Tạm được,2026-06-07 01:53
411,1621,4,,2026-06-14 06:51
412,4041,3,Tạm được,2024-11-13 18:39
413,6051,5,,2025-06-19 09:44
414,5033,4,,2024-09-24 08:31
415,5121,3,Máy sửa xong nhưng vẫn hơi nóng,2026-04-10 02:26
416,2577,5,"Nhân viên nhiệt tình, sửa nhanh",2026-03-06 00:28
417,6810,1,Mất phụ kiện kèm theo máy,2026-02-09 23:31
418,2680,5,,2026-02-11 20:21
419,1182,2,Trả máy trễ hẹn 3 ngày,2026-01-28 22:00
420,3581,3,Chờ hơi lâu,2024-12-27 19:15
421,6584,4,Sửa được nhưng phải chờ linh kiện,2026-08-31 13:58
422,6209,1,Thái độ nhân viên không tốt,2026-01-14 22:32
423,2546,4,,2026-07-17 07:23
424,2712,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2026-06-09 03:09
425,4072,5,"Nhân viên nhiệt tình, sửa nhanh",2025-03-09 14:27
426,6558,3,,2024-09-27 08:23
427,2654,5,,2025-03-28 09:01
428,6677,5,,2024-09-18 20:31
429,2873,4,"Tốt, giá hơi cao",2024-09-11 04:17
430,1349,2,,2025-09-13 16:26
431,1204,3,,2026-04-14 13:56
432,5853,5,,2025-08-28 01:27
433,3225,4,,2026-06-20 05:56
434,2050,4,,2025-10-20 20:12
435,3176,4,,2025-01-12 06:09
436,1238,4,Sửa được nhưng phải chờ linh kiện,2026-02-14 04:22
437,5097,5,Trả máy đúng hẹn,2026-05-20 21:46
438,1975,2,Phải quay lại lần 2 mới xong,2026-05-02 04:39
439,5991,4,"Tốt, giá hơi cao",2025-01-23 17:43
440,1124,5,,2026-05-03 00:51
441,853,3,Bình thường,2026-05-05 08:48
442,1164,2,,2026-08-07 21:24
443,1222,3,,2025-02-22 03:28
444,7044,3,,2025-12-08 14:53
445,6539,5,,2026-06-21 04:54
446,3282,3,,2025-10-20 04:43
447,3340,5,Kỹ thuật viên giải thích rõ ràng,2025-04-25 03:29
448,6597,5,Kỹ thuật viên giải thích rõ ràng,2026-08-17 07:34
449,7041,5,Trả máy đúng hẹn,2026-01-15 12:53
450,3259,5,,2026-07-24 16:00
